SubID,TestCond,TimingCond,B1,B2,B3,B4,B5
6,1,1,87.23404255,85.10638298,79.59183673,77.08333333,85.63829787
10,1,1,86.95652174,87.23404255,87.23404255,91.30434783,74.3315508
16,1,1,88.88888889,82.9787234,81.25,88.88888889,50.53763441
23,1,1,89.13043478,83.33333333,81.25,84.7826087,81.38297872
25,1,1,86.95652174,85.41666667,81.25,86.95652174,45.16129032
27,1,1,89.13043478,83.33333333,81.25,86.95652174,78.07486631
29,1,1,89.13043478,83.33333333,81.25,86.66666667,56.75675676
44,1,1,89.13043478,78.72340426,81.25,86.36363636,54.92957746
46,1,1,91.30434783,83.33333333,81.25,86.95652174,87.23404255
48,1,1,89.13043478,82.60869565,81.25,86.95652174,86.48648649
50,1,1,89.13043478,82.9787234,81.25,86.95652174,67.20430108
3,1,2,90.90909091,75,86.95652174,85.10638298,
5,1,2,86.66666667,82.60869565,81.81818182,95.74468085,
17,1,2,89.13043478,83.33333333,81.25,86.95652174,92.51336898
19,1,2,89.13043478,83.33333333,81.25,86.66666667,61.29032258
21,1,2,89.13043478,83.33333333,81.25,86.66666667,48.58757062
31,1,2,89.13043478,83.33333333,80.85106383,86.66666667,94.62365591
33,1,2,89.13043478,83.33333333,81.25,86.66666667,45.98930481
35,1,2,89.13043478,83.33333333,81.25,86.66666667,73.26203209
37,1,2,89.13043478,83.33333333,81.25,86.66666667,36.55913978
39,1,2,89.13043478,84.7826087,80.85106383,86.66666667,81.96721311
41,1,2,89.13043478,82.9787234,81.25,86.66666667,52.40641711
7,2,1,60.41666667,61.70212766,55.31914894,73.33333333,49.18918919
9,2,1,63.26530612,53.19148936,91.4893617,77.08333333,79.25531915
12,2,1,47.82608696,54.34782609,54.16666667,55.55555556,46.23655914
15,2,1,51.11111111,73.33333333,68.08510638,45.65217391,75.97765363
22,2,1,72.72727273,85.10638298,75,60.86956522,98.40425532
24,2,1,76.08695652,72.91666667,79.16666667,82.60869565,81.81818182
26,2,1,69.56521739,72.91666667,54.16666667,67.39130435,47.05882353
28,2,1,76.08695652,97.91666667,100,100,98.39572193
43,2,1,82.60869565,72.91666667,81.25,82.60869565,82.5136612
45,2,1,73.91304348,68.08510638,82.9787234,80.43478261,86.02150538
47,2,1,63.04347826,75,72.91666667,71.73913043,45.45454545
49,2,1,52.17391304,77.08333333,70.83333333,69.56521739,78.07486631
51,2,1,58.69565217,72.91666667,70.83333333,76.08695652,88.29787234
2,2,2,54.34782609,65.95744681,53.33333333,58.69565217,
4,2,2,53.19148936,42.55319149,65.95744681,80.85106383,66.31016043
18,2,2,60.86956522,79.16666667,82.9787234,86.66666667,95.16129032
20,2,2,52.17391304,58.33333333,60.86956522,75.55555556,58.60215054
30,2,2,60.86956522,70.21276596,62.5,81.81818182,87.6344086
32,2,2,34.7826087,61.70212766,42.55319149,51.1627907,50.27027027
34,2,2,59.52380952,62.22222222,50,52.27272727,59.3220339
36,2,2,76.08695652,89.58333333,89.58333333,97.72727273,94.11764706
38,2,2,44.44444444,70.83333333,71.73913043,77.27272727,69.35483871
40,2,2,73.91304348,72.91666667,77.08333333,75.55555556,86.55913978
42,2,2,69.56521739,65.95744681,80.85106383,82.22222222,79.67914439
